Date,ADANIPORTS,AMBUJACEM,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BPCL,BHARTIARTL,INDUSTOWER,BOSCHLTD,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,HCLTECH,HDFCBANK,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,HDFC,ICICIBANK,IBULHSGFIN,ITC,IOC,INDUSINDBK,INFY,KOTAKBANK,LUPIN,LT,M&M,MARUTI,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TCS,TATAMOTORS,TATASTEEL,TECHM,UPL,ULTRACEMCO,VEDL,WIPRO,YESBANK,ZEEL,^NSEI
2013-01-01,131.6709442138672,168.87603759765625,413.4573669433594,91.87394714355469,258.4648742675781,1694.256103515625,128.03602600097656,71.56177520751953,281.7659912109375,137.84402465820312,8747.263671875,401.8272399902344,168.88232421875,1706.093505859375,256.78472900390625,73.7855224609375,131.76199340820312,322.9219970703125,1446.9249267578125,125.36602783203125,38.23771667480469,457.1258850097656,728.5679321289062,187.39028930664062,,151.38990783691406,39.89602279663086,405.4710998535156,231.76544189453125,323.2208557128906,584.488037109375,621.2822875976562,441.0555114746094,1398.225341796875,86.18328094482422,122.16128540039062,61.25940704345703,389.0530090332031,224.47496032714844,349.82330322265625,527.7715454101562,309.81927490234375,338.0247802734375,194.77780151367188,79.7320785522461,1963.4625244140625,108.08477783203125,136.8250274658203,87.24321746826172,209.7527313232422,
2013-01-02,132.29202270507812,170.92628479003906,408.68060302734375,95.79205322265625,263.0454406738281,1750.164306640625,126.62918853759766,73.60037231445312,280.8474426269531,140.4580535888672,8829.02734375,404.7149658203125,168.2958526611328,1707.90576171875,250.83741760253906,75.30294799804688,132.4185028076172,324.26641845703125,1453.025634765625,126.16035461425781,39.16133117675781,457.039794921875,740.5075073242188,189.90562438964844,,150.41490173339844,40.69649124145508,414.8114929199219,231.80055236816406,326.6770935058594,584.67822265625,630.7072143554688,439.5568542480469,1437.926513671875,87.29175567626953,125.33338165283203,60.8558464050293,392.4080505371094,226.70448303222656,350.485595703125,527.4165649414062,311.0419616699219,337.9862365722656,196.03994750976562,79.31053924560547,1975.5472412109375,110.42500305175781,135.7391357421875,89.22767639160156,217.07785034179688,5993.25
2013-01-03,132.1487274169922,172.76736450195312,410.9941711425781,96.0295181274414,263.6334533691406,1760.2177734375,130.03842163085938,73.56021118164062,286.9271545410156,142.4446258544922,8767.0166015625,402.2122497558594,169.11691284179688,1749.355712890625,251.26783752441406,75.0138931274414,132.56671142578125,322.3794250488281,1439.7564697265625,125.59965515136719,39.33285903930664,458.633544921875,739.5453491210938,189.59022521972656,,149.43994140625,40.6291618347168,416.056884765625,234.6814422607422,325.6825256347656,578.9254760742188,625.8512573242188,438.5266418457031,1424.908203125,87.31946563720703,127.70674896240234,61.420833587646484,398.3315734863281,228.65187072753906,347.1506042480469,534.6390380859375,311.1397705078125,341.1875305175781,196.38418579101562,82.38178253173828,1965.4525146484375,111.2413558959961,137.13528442382812,90.0232925415039,217.12481689453125,6009.5
2013-01-04,131.38427734375,172.47445678710938,411.4896545410156,95.76830291748047,261.54705810546875,1752.8271484375,130.09938049316406,75.11676025390625,286.0523681640625,144.39642333984375,8708.5498046875,400.57586669921875,170.6886749267578,1755.9078369140625,247.96914672851562,76.62420654296875,134.28219604492188,320.4923400878906,1439.7564697265625,123.87078857421875,41.404396057128906,460.6582336425781,732.7227172851562,191.264404296875,,148.8338165283203,42.06550979614258,412.6560363769531,235.8509063720703,323.3452453613281,574.7893676757812,622.4674072265625,440.7979736328125,1426.8934326171875,88.06768035888672,129.98887634277344,61.851287841796875,398.8406066894531,230.04879760742188,347.7655944824219,542.4044799804688,308.49884033203125,334.39923095703125,196.62408447265625,81.83979034423828,1982.002197265625,109.77191925048828,139.1519775390625,89.44715118408203,213.2274627685547,6016.14990234375
2013-01-07,133.82089233398438,170.59156799316406,410.7745361328125,95.74458312988281,260.3900451660156,1745.9127197265625,129.90711975097656,77.42650604248047,285.8774108886719,144.57070922851562,8692.5703125,408.468994140625,168.9996337890625,1754.281494140625,249.7919921875,75.63325500488281,132.979736328125,315.2322082519531,1446.88671875,125.59965515136719,43.416561126708984,452.64599609375,719.8211669921875,191.22401428222656,,147.06825256347656,42.08047866821289,413.2308349609375,238.38560485839844,322.47491455078125,569.3695068359375,607.2307739257812,446.8391418457031,1463.0400390625,87.34716796875,131.44943237304688,61.55533981323242,396.4110107421875,228.2818145751953,352.0230407714844,540.5883178710938,306.3959045410156,340.1075744628906,193.40090942382812,82.65277862548828,1980.8372802734375,110.2889404296875,139.6001434326172,91.12983703613281,209.65879821777344,5988.39990234375
2013-01-08,131.33651733398438,169.04339599609375,410.7511291503906,95.31712341308594,258.0096435546875,1747.1444091796875,129.78990173339844,76.47248077392578,288.93914794921875,141.46876525878906,8646.07421875,413.4263000488281,169.0230712890625,1773.380126953125,245.5137939453125,75.26164245605469,134.4198455810547,316.19927978515625,1434.53271484375,124.29132080078125,42.65127944946289,452.7321472167969,734.9970092773438,190.80340576171875,,150.57302856445312,42.09543991088867,415.52996826171875,235.2937774658203,324.61334228515625,568.5613403320312,599.1058959960938,448.78265380859375,1454.0379638671875,87.2640380859375,132.40792846679688,62.658390045166016,393.6575927734375,230.6640167236328,356.89544677734375,542.8427124023438,307.2762145996094,334.2835388183594,193.2653045654297,82.8635482788086,1959.9197998046875,108.6834716796875,137.25595092773438,91.38589477539062,210.36312866210938,6001.7001953125
2013-01-09,129.1387939453125,164.85916137695312,407.9515075683594,93.32247161865234,255.9896697998047,1714.9189453125,128.6081085205078,77.4666748046875,291.9571228027344,142.93260192871094,8581.736328125,412.3674011230469,170.64178466796875,1775.935791015625,243.1023712158203,76.51067352294922,134.6634063720703,314.9020080566406,1409.0616455078125,123.4035415649414,44.32039260864258,447.390625,725.9876708984375,190.94898986816406,,147.30543518066406,42.843536376953125,416.2964172363281,233.98880004882812,322.79815673828125,563.18896484375,592.5294799804688,451.6628112792969,1449.190673828125,86.29412078857422,133.36642456054688,62.17412185668945,394.606201171875,233.38845825195312,360.0886535644531,532.9692993164062,320.1873779296875,325.7596435546875,195.97735595703125,81.9000244140625,1904.785888671875,107.13240051269531,136.8767547607422,92.21808624267578,209.7527313232422,5971.5
2013-01-10,129.75991821289062,160.46568298339844,407.8159484863281,90.63916015625,259.4701843261719,1699.2230224609375,131.81573486328125,76.49258422851562,288.720458984375,142.96743774414062,8687.7255859375,409.5278625488281,171.5566864013672,1775.14599609375,246.51087951660156,75.86035919189453,135.8811492919922,318.8175964355469,1409.862060546875,121.53450012207031,43.574893951416016,445.0644836425781,722.0516357421875,190.79531860351562,,148.095947265625,42.8136100769043,422.6670837402344,233.11549377441406,325.16033935546875,556.2953491210938,591.3440551757812,450.1875915527344,1451.68359375,85.2410888671875,137.9534454345703,61.28630447387695,393.3798828125,234.8964080810547,356.8009033203125,525.3707885742188,326.3984375,324.3711242675781,203.5294189453125,82.44200897216797,1843.4395751953125,105.20036315917969,136.3768768310547,94.27569580078125,212.05357360839844,5968.64990234375
2013-01-11,125.84224700927734,155.98854064941406,401.9034729003906,87.62336730957031,258.73040771484375,1683.289306640625,129.897705078125,74.4640121459961,284.477783203125,143.21142578125,8573.2109375,405.7256774902344,169.21078491210938,1765.666259765625,246.92373657226562,75.24100494384766,136.56947326660156,315.7511291503906,1402.7698974609375,118.73094177246094,43.014122009277344,429.1263122558594,708.056640625,188.2152557373047,,144.0905303955078,42.60414123535156,412.94342041015625,272.2441101074219,313.2996826171875,558.8150634765625,585.74267578125,439.2291564941406,1445.17431640625,84.63143920898438,133.4348602294922,60.88276290893555,388.6827697753906,230.45123291015625,349.70513916015625,545.3895263671875,323.1706237792969,321.902587890625,206.39793395996094,80.66551208496094,1828.0545654296875,105.79900360107422,144.77114868164062,91.15727996826172,218.15785217285156,5951.2998046875
2013-01-14,130.23768615722656,159.04302978515625,408.0823974609375,91.20905303955078,262.9031982421875,1663.6199951171875,130.727783203125,74.94603729248047,287.53955078125,144.84954833984375,8579.6376953125,400.7203063964844,168.50697326660156,1777.933837890625,242.8563995361328,76.57259368896484,142.4888458251953,315.7511291503906,1405.629638671875,119.85236358642578,43.53531265258789,435.32928466796875,723.4074096679688,191.7092742919922,,146.46217346191406,43.105369567871094,421.6611633300781,281.7201232910156,312.5786437988281,550.6378173828125,594.4794311523438,437.8709716796875,1421.0302734375,85.37963104248047,139.3227081298828,60.29087829589844,392.2229309082031,231.256103515625,347.8365783691406,557.1417846679688,320.5296936035156,326.91668701171875,209.03697204589844,83.19476318359375,1811.407958984375,107.13240051269531,144.49537658691406,92.63876342773438,218.5334930419922,6024.0498046875
