amerTimestamp	apacTimestamp	emeaTimestamp	id	dataType	feedFamilyCode	headline	language	altId	feedTimestamp	isArchive	audiences	firstCreated	instancesOf	takeSequence	provider	sourceId	sourceTimestamp	subjects	urgency	bodySize	companyCount	exchangeAction	headlineTag	marketCommentary	sentenceCount	wordCount	systemVersion
2019-01-02T09:25:19.710Z	2019-01-02T09:25:19.746Z	2019-01-02T09:25:19.625Z	tr:E6N1X400O_1901021szE93LXruuDs/Z9aqsxHA0Pvx1TTK30xzgsRR	News	tr	BRAZIL'S ODEBRECHT TO PAY 161.9 MLN REAIS TO ELETROBRAS IN LENIENCY DEAL - FILING	en	nE6N1X400O	2019-01-02T09:25:19.376Z	True	NP:D NP:E NP:M NP:NAW NP:T NP:U	2019-01-02T09:25:19.317Z		1	NS:RTRS	E6N1X400O_1901021szE93LXruuDs/Z9aqsxHA0Pvx1TTK30xzgsRR	2019-01-02T09:25:19.317Z	B:1051 B:12 B:14 B:15 B:181 B:182 B:1822 B:183 B:227 G:1 G:26 G:4 G:CG G:G M:1QD M:1WN M:Z R:ELET6.SA R:ODBES.UL N2:AMERS N2:BMAT N2:BMAT08 N2:BR N2:CHEM N2:CMPNY N2:COMC N2:ELEU N2:ELUT N2:ELUT1 N2:EMRG N2:LATAM N2:LEN N2:PLSTCS N2:SAMER N2:SRVCS N2:UTIL P:4295859730 P:4295859739	1	0	1	UNDEFINED		False	1	15	TS:40060100
2019-01-02T09:25:24.320Z	2019-01-02T09:25:24.355Z	2019-01-02T09:25:24.250Z	tr:E6N1X400O_1901021C1VM9rSqbrvJiH/byXKzbDaZbTQ0Os59jaGPs	News	tr	BRAZIL'S ODEBRECHT TO MAKE LENIENCY DEAL PAYMENT OVER 21 YEAR PERIOD, STARTING OCT 2019 - FILING	en	nE6N1X400O	2019-01-02T09:25:23.934Z	True	NP:D NP:E NP:M NP:NAW NP:T NP:U	2019-01-02T09:25:19.000Z		3	NS:RTRS	E6N1X400O_1901021C1VM9rSqbrvJiH/byXKzbDaZbTQ0Os59jaGPs	2019-01-02T09:25:23.909Z	B:1051 B:12 B:14 B:15 B:181 B:182 B:1822 B:183 B:227 G:1 G:26 G:4 G:CG G:G M:1QD M:1WN M:Z R:ELET6.SA R:ODBES.UL N2:AMERS N2:BMAT N2:BMAT08 N2:BR N2:CHEM N2:CMPNY N2:COMC N2:ELEU N2:ELUT N2:ELUT1 N2:EMRG N2:LATAM N2:LEN N2:PLSTCS N2:SAMER N2:SRVCS N2:UTIL P:4295859730 P:4295859739	1	0	1	UNDEFINED		False	1	18	TS:40060100
2019-01-02T09:25:26.679Z	2019-01-02T09:25:26.746Z	2019-01-02T09:25:26.625Z	tr:E6N1X400O_1901021mYgMrc9X8lcGip3jNiB42M5ClyIi2slpm6UcE	News	tr	BRAZIL'S ODEBRECHT NEW LENIENCY DEAL REFERS TO CONSTRUCTION OF SANTO ANTONIO AND BELO MONTE HYDROELECTRIC DAMS- FILING	en	nE6N1X400O	2019-01-02T09:25:26.349Z	True	NP:D NP:E NP:M NP:NAW NP:T NP:U	2019-01-02T09:25:19.000Z		5	NS:RTRS	E6N1X400O_1901021mYgMrc9X8lcGip3jNiB42M5ClyIi2slpm6UcE	2019-01-02T09:25:26.324Z	B:1051 B:12 B:14 B:15 B:181 B:182 B:1822 B:183 B:227 G:1 G:26 G:4 G:CG G:G M:1QD M:1WN M:Z R:ELET6.SA R:ODBES.UL N2:AMERS N2:BMAT N2:BMAT08 N2:BR N2:CHEM N2:CMPNY N2:COMC N2:ELEU N2:ELUT N2:ELUT1 N2:EMRG N2:LATAM N2:LEN N2:PLSTCS N2:SAMER N2:SRVCS N2:UTIL P:4295859730 P:4295859739	1	0	1	UNDEFINED		False	1	19	TS:40060100
2019-01-02T09:25:31.132Z	2019-01-02T09:25:31.199Z	2019-01-02T09:25:31.063Z	tr:HKS6Zzcrp_1901022CY1ARgcSkGJs+uQ1nuWPPrurZAcvOSzSxHEt3	News	tr	Kingboard Holdings Ltd - Monthly Return of Equity Issuer on Movements in Securities	en	nHKS6Zzcrp	2019-01-02T09:25:30.819Z	True	NP:SHKI	2019-01-02T09:25:30.719Z		1	NS:HIIS	HKS6Zzcrp_1901022CY1ARgcSkGJs+uQ1nuWPPrurZAcvOSzSxHEt3	2019-01-02T09:25:30.719Z	A:1 B:12 B:14 B:161 B:162 B:1785 B:227 B:234 B:235 B:236 B:237 B:278 B:279 B:289 B:34 B:35 B:38 B:41 G:1 G:3H G:6 G:B1 G:K G:S M:1P2 M:1QD M:32 M:3H M:AV M:Z R:0148.HK N2:ASIA N2:ASXPAC N2:BMAT N2:BMAT08 N2:CHEM N2:CMPNY N2:CN N2:EASIA N2:ELCO N2:ELCO08 N2:ELEP N2:ELEP1 N2:EMRG N2:EQTY N2:HK N2:INDG N2:INDG08 N2:INDS N2:INDS08 N2:LEN N2:MACH N2:MACH08 N2:NEWR N2:REG N2:STX N2:TECH N2:TECH08 N2:TEEQ N2:TEEQ08 N2:TMT P:4295871044	3	58	1	UNDEFINED		False	2	23	TS:40060100
2019-01-02T09:25:53.570Z	2019-01-02T09:25:53.621Z	2019-01-02T09:25:53.532Z	tr:HKS6Zzcrp_19010267g5+/hMlL3eD2dg5/8DunSsOUFCAiFQyL2RkR	News	tr	Kingboard Holdings Ltd - Monthly Return of Equity Issuer on Movements in Securities(with URL)	en	nHKS6Zzcrp	2019-01-02T09:25:53.236Z	True	NP:SHKI	2019-01-02T09:25:30.000Z		2	NS:HIIS	HKS6Zzcrp_19010267g5+/hMlL3eD2dg5/8DunSsOUFCAiFQyL2RkR	2019-01-02T09:25:53.055Z	A:1 B:12 B:14 B:161 B:162 B:1785 B:227 B:234 B:235 B:236 B:237 B:278 B:279 B:289 B:34 B:35 B:38 B:41 G:1 G:3H G:6 G:B1 G:K G:S M:1P2 M:1QD M:32 M:3H M:AV M:NU M:Z R:0148.HK N2:ASIA N2:ASXPAC N2:BMAT N2:BMAT08 N2:CHEM N2:CMPNY N2:CN N2:EASIA N2:ELCO N2:ELCO08 N2:ELEP N2:ELEP1 N2:EMRG N2:EQTY N2:HK N2:INDG N2:INDG08 N2:INDS N2:INDS08 N2:LEN N2:MACH N2:MACH08 N2:MTPDF N2:NEWR N2:REG N2:STX N2:TECH N2:TECH08 N2:TEEQ N2:TEEQ08 N2:TMT P:4295871044	3	394	1	UNDEFINED		False	6	67	TS:40060100
2019-01-02T09:26:31.069Z	2019-01-02T09:26:31.122Z	2019-01-02T09:26:31.016Z	tr:HKS22jfK3_1901022oGhoXFCxfDfpQ6z/7MtB0CKfY6rdDHMbYY5vY	News	tr	Yue Da Mining Holdings Ltd - Monthly Return of Equity Issuer on Movements in Securities for the month ended 31 December 2018	en	nHKS22jfK3	2019-01-02T09:26:30.748Z	True	NP:SHKI	2019-01-02T09:26:30.653Z		1	NS:HIIS	HKS22jfK3_1901022oGhoXFCxfDfpQ6z/7MtB0CKfY6rdDHMbYY5vY	2019-01-02T09:26:30.653Z	A:1 B:1085 B:12 B:19 B:20 B:227 B:228 B:229 B:24 G:1 G:3H G:6 G:B1 G:K G:S M:1QD M:32 M:3H M:AV M:B6 M:Z R:0629.HK N2:ASIA N2:ASXPAC N2:BMAT N2:BMAT08 N2:CMPNY N2:CN N2:DIVMIN N2:EASIA N2:EMRG N2:EQTY N2:HK N2:LEN N2:MEMI N2:MIN N2:MINE N2:MINE08 N2:MTAL N2:MTAL08 N2:NEWR N2:REG N2:STX P:4295871431	3	95	1	UNDEFINED		False	2	39	TS:40060100
2019-01-02T09:26:32.132Z	2019-01-02T09:26:32.184Z	2019-01-02T09:26:32.078Z	tr:HKS7kqPhX_1901022GQkoxssLJ+UUcDn8MytAwTeFL5dRNU+Qh2BT8	News	tr	Upbest Group Ltd - Monthly Return of Equity Issuer on Movements in Securities for the month ended 31st December, 2018	en	nHKS7kqPhX	2019-01-02T09:26:31.804Z	True	NP:SHKI	2019-01-02T09:26:31.706Z		1	NS:HIIS	HKS7kqPhX_1901022GQkoxssLJ+UUcDn8MytAwTeFL5dRNU+Qh2BT8	2019-01-02T09:26:31.706Z	A:1 B:1071 B:12 B:19 B:20 B:21 B:227 B:228 B:229 B:230 G:1 G:3H G:6 G:B1 G:K G:S M:1NP M:1QD M:32 M:3H M:AV M:B6 M:Z R:0335.HK N2:ASIA N2:ASXPAC N2:BMAT N2:BMAT08 N2:CMPNY N2:CN N2:EASIA N2:EMRG N2:EQTY N2:HK N2:LEN N2:MIN N2:MINE N2:MINE08 N2:MTAL N2:MTAL08 N2:NEWR N2:PREC N2:PREC08 N2:PREC1 N2:PRECAL N2:REG N2:STX P:4295871163	3	98	1	UNDEFINED		False	2	39	TS:40060100
2019-01-02T09:26:56.132Z	2019-01-02T09:26:56.200Z	2019-01-02T09:26:56.109Z	tr:HKS22jfK3_1901026EkDORQe6Kyo/KUqi5BB7g+RJse9MnrL3IxS+w	News	tr	Yue Da Mining Holdings Ltd - Monthly Return of Equity Issuer on Movements in Securities for the month ended 31 December 2018(with URL)	en	nHKS22jfK3	2019-01-02T09:26:55.824Z	True	NP:SHKI	2019-01-02T09:26:30.000Z		2	NS:HIIS	HKS22jfK3_1901026EkDORQe6Kyo/KUqi5BB7g+RJse9MnrL3IxS+w	2019-01-02T09:26:55.582Z	A:1 B:1085 B:12 B:19 B:20 B:227 B:228 B:229 B:24 G:1 G:3H G:6 G:B1 G:K G:S M:1QD M:32 M:3H M:AV M:B6 M:NU M:Z R:0629.HK N2:ASIA N2:ASXPAC N2:BMAT N2:BMAT08 N2:CMPNY N2:CN N2:DIVMIN N2:EASIA N2:EMRG N2:EQTY N2:HK N2:LEN N2:MEMI N2:MIN N2:MINE N2:MINE08 N2:MTAL N2:MTAL08 N2:MTPDF N2:NEWR N2:REG N2:STX P:4295871431	3	616	1	UNDEFINED		False	8	107	TS:40060100
2019-01-02T09:27:10.476Z	2019-01-02T09:27:10.528Z	2019-01-02T09:27:10.422Z	tr:HKS7kqPhX_1901026V9RTLmiatPqByAK3GVX5bnd2jxz76vvSm4NfI	News	tr	Upbest Group Ltd - Monthly Return of Equity Issuer on Movements in Securities for the month ended 31st December, 2018(with URL)	en	nHKS7kqPhX	2019-01-02T09:27:10.139Z	True	NP:SHKI	2019-01-02T09:26:31.000Z		2	NS:HIIS	HKS7kqPhX_1901026V9RTLmiatPqByAK3GVX5bnd2jxz76vvSm4NfI	2019-01-02T09:27:09.881Z	A:1 B:1071 B:12 B:19 B:20 B:21 B:227 B:228 B:229 B:230 G:1 G:3H G:6 G:B1 G:K G:S M:1NP M:1QD M:32 M:3H M:AV M:B6 M:NU M:Z R:0335.HK N2:ASIA N2:ASXPAC N2:BMAT N2:BMAT08 N2:CMPNY N2:CN N2:EASIA N2:EMRG N2:EQTY N2:HK N2:LEN N2:MIN N2:MINE N2:MINE08 N2:MTAL N2:MTAL08 N2:MTPDF N2:NEWR N2:PREC N2:PREC08 N2:PREC1 N2:PRECAL N2:REG N2:STX P:4295871163	3	619	1	UNDEFINED		False	8	107	TS:40060100
2019-01-02T09:27:23.335Z	2019-01-02T09:27:23.372Z	2019-01-02T09:27:23.266Z	tr:L3N1Z2175_1901022hsUBe/mJc1MLW3Gzy5v4iZ6RgokE4mwKgT1w1	News	tr	EXCLUSIVE-Indian state oil firms have stopped taking margin hit on petrol and diesel sales	en	nL3N1Z2175	2019-01-02T09:27:22.898Z	True	NP:E NP:O NP:SNI NP:SNS NP:OIL NP:PSC	2019-01-02T09:18:52.000Z		1	NS:RTRS	L3N1Z2175_1901022hsUBe/mJc1MLW3Gzy5v4iZ6RgokE4mwKgT1w1	2019-01-02T09:27:22.000Z	BL:11 G:1 G:5B G:K M:1L M:X U:45 M:2A B:1004 B:1010 B:1011 B:7 B:8 M:Z B:5 E:3Z G:3 U:24 B:2 B:219 E:C G:A G:CH G:S M:E7 M:N A:4 U:C R:BPCL.NS P:4295872490 R:HPCL.NS P:4295872504 R:IOC.NS P:4295872661 MCCL:OEC MCC:OEC M:1QD N2:ENR N2:EMRG N2:IN N2:ASIA N2:NEWS1 N2:TAX N2:CRU N2:EXCLSV N2:EXPRO1 N2:REFI1 N2:PETREF N2:EXPRO N2:REFI N2:CMPNY N2:OILG N2:LAYOFS N2:WEU N2:PROD N2:ENFF N2:ENER N2:JOB N2:EUROP N2:SASIA N2:ASXPAC N2:GEN N2:POL N2:COM N2:NRG N2:LEN	3	2406	3	UNDEFINED	EXCLUSIVE	False	16	440	TS:40060100
